"Valores reales","Máquina","INY17",,"Pedido","F196116",,"Programa","22228"

"  ","t4012 [s]","t4018 [s]","t4015 [s]","V4062 [cm³]","p4072 [bar]"
"Valor nominal","14,2","1,03","1,5","7,9","1.020",
"Tolerancia inferior","13,2","0,93","0,5","6,4","920",
"Tolerancia superior","15,2","1,13","2,5","9,4","1.120",
"Mínimo","14,16","1,03","1,43","7,51","953",
"Máximo","14,29","1,03","1,7","8,32","1.039",
"xqq","14,217","1,03","1,545","7,958","1.009,9",
"Rq","0,033","0","0,021","0,201","12,2",
"sq","0,014","0","0,009","0,082","5",
"Sigma","0,015","0","0,01","0,087","5,3",
"Cp","22,803","0","34,764","5,73","6,2",
"Cps","22,413","0","33,214","5,51","6,9",
"Cpi","23,194","0","36,314","5,951","5,6",
"Cpd","22,413","0","33,214","5,51","5,6",
"LISx","14,237","1,03","1,557","8,07","1.017",
"LIIx","14,198","1,03","1,532","7,84","1.003",
"LISs","0,029","0","0,019","0,17","10",
"LIIs","0","0","0","0","0",
"n","2.865","2.865","2.865","2.865","2.865",


"Muestra aleatoria","Momento","Cantidad piezas","t4012 [s]","t4018 [s]","t4015 [s]","V4062 [cm³]","p4072 [bar]"
" 11/2","3 dic 2025 11:39:54","416","14,180","1,030","1,510","7,88","1020",
" 11/3","3 dic 2025 11:40:08","424","14,220","1,030","1,520","7,92","1020",
" 11/4","3 dic 2025 11:40:23","432","14,180","1,030","1,500","8,03","1027",
" 11/5","3 dic 2025 11:40:37","440","14,220","1,030","1,510","7,97","1023",
" 12/1","3 dic 2025 11:42:03","488","14,240","1,030","1,500","8,08","1020",
" 12/2","3 dic 2025 11:42:18","496","14,220","1,030","1,510","7,87","1022",
" 12/3","3 dic 2025 11:42:32","504","14,230","1,030","1,520","7,99","1027",
" 12/4","3 dic 2025 11:42:47","512","14,230","1,030","1,510","8,02","1025",
" 12/5","3 dic 2025 11:43:01","520","14,240","1,030","1,500","7,94","1023",
" 13/1","3 dic 2025 11:44:20","568","14,230","1,030","1,510","7,96","1028",
" 13/2","3 dic 2025 11:44:35","576","14,220","1,030","1,510","8,02","1022",
" 13/3","3 dic 2025 11:44:49","584","14,190","1,030","1,510","7,91","1023",
" 13/4","3 dic 2025 11:45:03","592","14,210","1,030","1,520","7,88","1019",
" 13/5","3 dic 2025 11:45:18","600","14,220","1,030","1,510","7,91","1025",
" 14/1","3 dic 2025 11:46:44","648","14,240","1,030","1,500","8,08","1027",
" 14/2","3 dic 2025 11:46:58","656","14,190","1,030","1,520","7,88","1016",
" 14/3","3 dic 2025 11:47:13","664","14,190","1,030","1,500","8,02","1022",
" 14/4","3 dic 2025 11:47:27","672","14,190","1,030","1,510","7,92","1023",
" 14/5","3 dic 2025 11:47:41","680","14,200","1,030","1,510","7,92","1017",
" 15/1","3 dic 2025 11:49:07","728","14,210","1,030","1,520","7,91","1020",
" 15/2","3 dic 2025 11:49:22","736","14,200","1,030","1,500","7,94","1019",
" 15/3","3 dic 2025 11:49:36","744","14,190","1,030","1,490","7,99","1016",
" 15/4","3 dic 2025 11:49:50","752","14,190","1,030","1,510","7,88","1014",
" 15/5","3 dic 2025 11:50:05","760","14,180","1,030","1,510","7,92","1019",
" 16/1","3 dic 2025 11:51:31","808","14,190","1,030","1,500","8,08","1022",
" 16/2","3 dic 2025 11:51:45","816","14,190","1,030","1,510","7,92","1014",
" 16/3","3 dic 2025 11:52:00","824","14,210","1,030","1,510","7,97","1011",
" 16/4","3 dic 2025 11:52:14","832","14,190","1,030","1,500","7,92","1012",
" 16/5","3 dic 2025 11:52:28","840","14,180","1,030","1,510","7,92","1014",
" 17/1","3 dic 2025 11:53:55","888","14,220","1,030","1,510","7,92","1034",
" 17/2","3 dic 2025 11:54:09","896","14,220","1,030","1,510","7,99","1034",
" 17/3","3 dic 2025 11:54:23","904","14,230","1,030","1,510","7,92","1033",
" 17/4","3 dic 2025 11:54:38","912","14,200","1,030","1,510","8,01","1033",
" 17/5","3 dic 2025 11:54:45","920","14,200","1,030","1,510","8,01","1033",
" 18/1","3 dic 2025 11:56:11","968","14,190","1,030","1,510","8,02","1016",
" 18/2","3 dic 2025 11:56:25","976","14,200","1,030","1,530","7,87","1016",
" 18/3","3 dic 2025 11:56:40","984","14,190","1,030","1,520","7,92","1027",
" 18/4","3 dic 2025 11:56:54","992","14,190","1,030","1,520","7,92","1020",
" 18/5","3 dic 2025 11:57:08","1000","14,170","1,030","1,510","7,92","1025",
" 19/1","3 dic 2025 11:58:35","1048","14,200","1,030","1,520","7,87","1012",
" 19/2","3 dic 2025 11:58:49","1056","14,180","1,030","1,510","8,08","1025",
" 19/3","3 dic 2025 11:59:03","1064","14,190","1,030","1,510","8,02","1016",
" 19/4","3 dic 2025 11:59:18","1072","14,180","1,030","1,510","8,08","1020",
" 19/5","3 dic 2025 11:59:32","1080","14,180","1,030","1,510","7,88","1014",
" 20/1","3 dic 2025 12:00:58","1128","14,210","1,030","1,520","7,86","1014",
" 20/2","3 dic 2025 12:01:12","1136","14,190","1,030","1,500","7,94","1016",
" 20/3","3 dic 2025 12:01:27","1144","14,200","1,030","1,530","7,88","1017",
" 20/4","3 dic 2025 12:01:41","1152","14,190","1,030","1,510","8,01","1025",
" 20/5","3 dic 2025 12:01:56","1160","14,190","1,030","1,510","7,85","1012",
" 21/1","3 dic 2025 12:03:22","1208","14,190","1,030","1,500","8,07","1019",
" 21/2","3 dic 2025 12:03:36","1216","14,200","1,030","1,520","7,85","1011",
" 21/3","3 dic 2025 12:03:50","1224","14,190","1,030","1,500","7,91","1016",
" 21/4","3 dic 2025 12:04:05","1232","14,180","1,030","1,520","7,88","1017",
" 21/5","3 dic 2025 12:04:19","1240","14,180","1,030","1,510","7,88","1016",
" 22/1","3 dic 2025 12:05:45","1288","14,190","1,030","1,520","7,85","1008",
" 22/2","3 dic 2025 12:05:59","1296","14,190","1,030","1,510","8,01","1011",
" 22/3","3 dic 2025 12:06:14","1304","14,200","1,030","1,510","7,92","1009",
" 22/4","3 dic 2025 12:06:28","1312","14,170","1,030","1,500","7,96","1016",
" 22/5","3 dic 2025 12:06:35","1320","14,170","1,030","1,500","7,96","1016",
" 23/1","3 dic 2025 12:08:01","1368","14,190","1,030","1,510","7,88","1012",
" 23/2","3 dic 2025 12:08:15","1376","14,190","1,030","1,510","8,07","1020",
" 23/3","3 dic 2025 12:08:30","1384","14,180","1,030","1,510","8,05","1022",
" 23/4","3 dic 2025 12:08:44","1392","14,190","1,030","1,510","7,98","1019",
" 23/5","3 dic 2025 12:08:58","1400","14,160","1,030","1,510","7,98","1020",
" 24/1","3 dic 2025 12:10:24","1448","14,200","1,030","1,510","7,93","1023",
" 24/2","3 dic 2025 12:10:38","1456","14,190","1,030","1,520","7,92","1019",
" 24/3","3 dic 2025 12:10:53","1464","14,190","1,030","1,500","8,04","1016",
" 24/4","3 dic 2025 12:11:07","1472","14,180","1,030","1,510","7,99","1019",
" 24/5","3 dic 2025 12:11:21","1480","14,180","1,030","1,520","7,97","1006",
" 25/1","3 dic 2025 12:12:48","1528","14,180","1,030","1,500","7,92","1019",
" 25/2","3 dic 2025 12:13:02","1536","14,200","1,030","1,510","8,01","1020",
" 25/3","3 dic 2025 12:13:16","1544","14,190","1,030","1,510","7,92","1012",
