"Valores reales","M嫭uina","INY14",,"Pedido","F194398",,"Programa","22199"

"  ","t4012 [s]","t4018 [s]","t4015 [s]","V4062 [cm設","p4072 [bar]","V4065 [cm設"
"Valor nominal","16,82","0,73","1,68","9,75","1.369","10",
"Tolerancia inferior","14,82","0,63","0,18","8,75","1.219","9,5",
"Tolerancia superior","18,82","0,83","3,18","10,75","1.519","10,5",
"M璯imo","16,14","0,72","1,65","9,66","1.125","9,99",
"M嫞imo","16,96","0,74","1,93","9,84","1.486","10",
"xqq","16,819","0,73","1,733","9,756","1.379,3","9,999",
"Rq","0,036","0","0,015","0,021","27,6","0,001",
"sq","0,015","0","0,007","0,009","11,3","0",
"Sigma","0,016","0","0,007","0,01","12","0",
"Cp","42,378","430,19","71,681","34,957","4,2","399,532",
"Cps","42,406","430,105","69,151","34,836","3,9","399,682",
"Cpi","42,35","430,275","74,211","35,079","4,4","399,382",
"Cpd","42,35","430,105","69,151","34,836","3,9","399,382",
"LISx","16,84","0,73","1,742","9,77","1.395","10",
"LIIx","16,798","0,73","1,724","9,74","1.363","10",
"LISs","0,031","0","0,014","0,02","24","0",
"LIIs","0","0","0","0","0","0",
"n","2.525","2.525","2.525","2.525","2.525","2.525",


"Muestra aleatoria","Momento","Cantidad piezas","t4012 [s]","t4018 [s]","t4015 [s]","V4062 [cm設","p4072 [bar]","V4065 [cm設"
" 9/5","25 oct 2025 2:56:43","1600","16,790","0,730","1,680","9,74","1403","10,00",
" 10/1","25 oct 2025 2:58:25","1648","16,830","0,730","1,690","9,75","1378","10,00",
" 10/2","25 oct 2025 2:58:42","1656","16,810","0,730","1,680","9,75","1382","10,00",
" 10/3","25 oct 2025 2:58:59","1664","16,820","0,730","1,680","9,75","1386","10,00",
" 10/4","25 oct 2025 2:59:16","1672","16,810","0,730","1,680","9,75","1393","10,00",
" 10/5","25 oct 2025 2:59:33","1680","16,840","0,730","1,680","9,75","1406","10,00",
" 11/1","25 oct 2025 3:01:15","1728","16,810","0,730","1,680","9,75","1389","9,99",
" 11/2","25 oct 2025 3:01:31","1736","16,790","0,730","1,690","9,74","1393","10,00",
" 11/3","25 oct 2025 3:01:40","1744","16,790","0,730","1,690","9,74","1393","10,00",
" 11/4","25 oct 2025 3:01:57","1752","16,820","0,730","1,680","9,75","1407","10,00",
" 11/5","25 oct 2025 3:02:14","1760","16,840","0,730","1,680","9,76","1412","10,00",
" 12/1","25 oct 2025 3:03:56","1808","16,800","0,730","1,680","9,77","1411","10,00",
" 12/2","25 oct 2025 3:04:13","1816","16,810","0,730","1,670","9,76","1418","10,00",
" 12/3","25 oct 2025 3:04:30","1824","16,820","0,730","1,690","9,75","1389","10,00",
" 12/4","25 oct 2025 3:04:47","1832","16,790","0,730","1,690","9,75","1403","10,00",
" 12/5","25 oct 2025 3:05:03","1840","16,820","0,730","1,690","9,76","1417","10,00",
" 13/1","25 oct 2025 3:06:45","1888","16,810","0,730","1,680","9,75","1392","10,00",
" 13/2","25 oct 2025 3:07:02","1896","16,810","0,730","1,690","9,74","1382","10,00",
" 13/3","25 oct 2025 3:07:19","1904","16,820","0,730","1,680","9,76","1409","10,00",
" 13/4","25 oct 2025 3:07:36","1912","16,820","0,730","1,680","9,77","1411","10,00",
" 13/5","25 oct 2025 3:07:53","1920","16,820","0,730","1,690","9,76","1412","10,00",
" 14/1","25 oct 2025 3:09:35","1968","16,830","0,730","1,680","9,76","1418","10,00",
" 14/2","25 oct 2025 3:09:52","1976","16,840","0,730","1,680","9,77","1398","10,00",
" 14/3","25 oct 2025 3:10:09","1984","16,850","0,730","1,690","9,75","1396","10,00",
" 14/4","25 oct 2025 3:10:26","1992","16,820","0,730","1,690","9,76","1411","10,00",
" 14/5","25 oct 2025 3:10:43","2000","16,860","0,730","1,690","9,76","1384","10,00",
" 15/1","25 oct 2025 3:12:24","2048","16,840","0,730","1,690","9,75","1393","10,00",
" 15/2","25 oct 2025 3:12:41","2056","16,820","0,730","1,680","9,84","1415","10,00",
" 15/3","25 oct 2025 3:12:58","2064","16,810","0,730","1,680","9,76","1403","10,00",
" 15/4","25 oct 2025 3:13:15","2072","16,820","0,730","1,690","9,76","1395","10,00",
" 15/5","25 oct 2025 3:13:32","2080","16,810","0,730","1,690","9,75","1395","10,00",
" 16/1","25 oct 2025 3:15:14","2128","16,830","0,730","1,700","9,74","1386","10,00",
" 16/2","25 oct 2025 3:15:31","2136","16,840","0,730","1,680","9,76","1412","10,00",
" 16/3","25 oct 2025 3:15:48","2144","16,850","0,730","1,690","9,74","1389","10,00",
" 16/4","25 oct 2025 3:16:05","2152","16,800","0,730","1,690","9,78","1400","10,00",
" 16/5","25 oct 2025 3:16:22","2160","16,830","0,730","1,680","9,76","1414","10,00",
" 17/1","25 oct 2025 3:18:03","2208","16,810","0,730","1,680","9,77","1404","10,00",
" 17/2","25 oct 2025 3:18:20","2216","16,810","0,730","1,680","9,76","1415","10,00",
" 17/3","25 oct 2025 3:18:37","2224","16,820","0,730","1,670","9,77","1422","10,00",
" 17/4","25 oct 2025 3:18:54","2232","16,810","0,730","1,680","9,75","1400","10,00",
" 17/5","25 oct 2025 3:19:11","2240","16,800","0,730","1,680","9,76","1393","10,00",
" 18/1","25 oct 2025 3:20:52","2288","16,800","0,730","1,690","9,75","1404","10,00",
" 18/2","25 oct 2025 3:21:09","2296","16,810","0,730","1,680","9,77","1422","10,00",
" 18/3","25 oct 2025 3:21:26","2304","16,790","0,730","1,690","9,76","1392","10,00",
" 18/4","25 oct 2025 3:21:43","2312","16,830","0,730","1,680","9,77","1404","10,00",
" 18/5","25 oct 2025 3:22:00","2320","16,830","0,730","1,690","9,74","1368","10,00",
" 19/1","25 oct 2025 3:23:33","2368","16,800","0,730","1,680","9,77","1429","10,00",
" 19/2","25 oct 2025 3:23:50","2376","16,820","0,730","1,690","9,74","1404","10,00",
" 19/3","25 oct 2025 3:24:07","2384","16,800","0,730","1,680","9,76","1406","9,99",
" 19/4","25 oct 2025 3:24:24","2392","16,810","0,730","1,700","9,75","1384","9,99",
" 19/5","25 oct 2025 3:24:41","2400","16,820","0,730","1,680","9,75","1403","10,00",
" 20/1","25 oct 2025 3:26:22","2448","16,810","0,730","1,690","9,74","1362","9,99",
" 20/2","25 oct 2025 3:26:39","2456","16,800","0,730","1,700","9,75","1367","9,99",
" 20/3","25 oct 2025 3:26:56","2464","16,840","0,730","1,690","9,74","1393","10,00",
" 20/4","25 oct 2025 3:27:13","2472","16,810","0,730","1,680","9,75","1398","10,00",
" 20/5","25 oct 2025 3:27:30","2480","16,830","0,730","1,700","9,74","1362","10,00",
" 21/1","25 oct 2025 3:29:12","2528","16,820","0,730","1,680","9,76","1393","10,00",
" 21/2","25 oct 2025 3:29:29","2536","16,830","0,730","1,690","9,75","1373","10,00",
" 21/3","25 oct 2025 3:29:46","2544","16,820","0,730","1,690","9,75","1393","10,00",
" 21/4","25 oct 2025 3:30:03","2552","16,810","0,730","1,690","9,74","1386","9,99",
" 21/5","25 oct 2025 3:30:20","2560","16,810","0,730","1,700","9,75","1376","9,99",
" 22/1","25 oct 2025 3:32:01","2608","16,810","0,730","1,690","9,75","1401","10,00",
" 22/2","25 oct 2025 3:32:18","2616","16,810","0,730","1,700","9,77","1401","10,00",
" 22/3","25 oct 2025 3:32:35","2624","16,850","0,730","1,690","9,77","1411","10,00",
" 22/4","25 oct 2025 3:32:52","2632","16,820","0,730","1,700","9,76","1401","10,00",
" 22/5","25 oct 2025 3:33:09","2640","16,830","0,730","1,700","9,76","1414","9,99",
" 23/1","25 oct 2025 3:34:51","2688","16,830","0,730","1,690","9,76","1423","10,00",
" 23/2","25 oct 2025 3:35:08","2696","16,810","0,730","1,690","9,78","1426","10,00",
" 23/3","25 oct 2025 3:35:25","2704","16,830","0,730","1,690","9,76","1407","10,00",
" 23/4","25 oct 2025 3:35:42","2712","16,820","0,730","1,680","9,77","1406","10,00",
" 23/5","25 oct 2025 3:35:59","2720","16,810","0,730","1,690","9,74","1393","10,00",
" 24/1","25 oct 2025 3:37:41","2768","16,820","0,730","1,680","9,74","1393","10,00",
" 24/2","25 oct 2025 3:37:58","2776","16,810","0,730","1,690","9,75","1395","10,00",
" 24/3","25 oct 2025 3:38:15","2784","16,830","0,730","1,680","9,77","1420","10,00",
" 24/4","25 oct 2025 3:38:32","2792","16,810","0,730","1,690","9,76","1422","10,00",
" 24/5","25 oct 2025 3:38:48","2800","16,840","0,730","1,690","9,75","1406","10,00",
" 25/1","25 oct 2025 3:40:30","2848","16,810","0,730","1,680","9,77","1414","10,00",
" 25/2","25 oct 2025 3:40:47","2856","16,830","0,730","1,700","9,75","1396","10,00",
" 25/3","25 oct 2025 3:41:04","2864","16,830","0,730","1,690","9,76","1401","10,00",
" 25/4","25 oct 2025 3:41:21","2872","16,830","0,730","1,700","9,75","1395","10,00",
" 25/5","25 oct 2025 3:41:38","2880","16,840","0,730","1,700","9,75","1395","10,00",
" 26/1","25 oct 2025 3:43:11","2928","16,820","0,730","1,690","9,75","1406","10,00",
" 26/2","25 oct 2025 3:43:28","2936","16,820","0,730","1,690","9,76","1412","10,00",
" 26/3","25 oct 2025 3:43:45","2944","16,800","0,730","1,700","9,76","1412","9,99",
" 26/4","25 oct 2025 3:44:02","2952","16,830","0,730","1,690","9,77","1423","10,00",
" 26/5","25 oct 2025 3:44:19","2960","16,820","0,730","1,700","9,75","1403","10,00",
" 27/1","25 oct 2025 3:46:00","3008","16,820","0,730","1,690","9,76","1415","10,00",
" 27/2","25 oct 2025 3:46:17","3016","16,780","0,730","1,700","9,75","1382","10,00",
" 27/3","25 oct 2025 3:46:34","3024","16,810","0,730","1,700","9,76","1412","10,00",
" 27/4","25 oct 2025 3:46:51","3032","16,800","0,730","1,700","9,75","1387","10,00",
" 27/5","25 oct 2025 3:47:08","3040","16,810","0,730","1,690","9,78","1401","10,00",
" 28/1","25 oct 2025 3:48:49","3088","16,830","0,730","1,690","9,77","1389","10,00",
" 28/2","25 oct 2025 3:49:06","3096","16,810","0,730","1,700","9,75","1378","9,99",
" 28/3","25 oct 2025 3:49:23","3104","16,790","0,730","1,690","9,76","1406","10,00",
" 28/4","25 oct 2025 3:49:40","3112","16,800","0,730","1,690","9,78","1396","10,00",
" 28/5","25 oct 2025 3:49:57","3120","16,810","0,730","1,690","9,74","1375","10,00",
" 29/1","25 oct 2025 3:51:38","3168","16,800","0,730","1,690","9,75","1376","10,00",
" 29/2","25 oct 2025 3:51:55","3176","16,810","0,730","1,690","9,77","1389","10,00",
" 29/3","25 oct 2025 3:52:12","3184","16,800","0,730","1,690","9,76","1378","10,00",
" 29/4","25 oct 2025 3:52:29","3192","16,820","0,730","1,700","9,76","1379","10,00",
" 29/5","25 oct 2025 3:52:46","3200","16,790","0,730","1,700","9,75","1389","10,00",
" 30/1","25 oct 2025 3:54:27","3248","16,790","0,730","1,690","9,74","1392","10,00",
" 30/2","25 oct 2025 3:54:44","3256","16,790","0,730","1,690","9,76","1395","10,00",
" 30/3","25 oct 2025 3:55:01","3264","16,800","0,730","1,700","9,75","1393","10,00",
" 30/4","25 oct 2025 3:55:18","3272","16,830","0,730","1,700","9,76","1414","10,00",
" 30/5","25 oct 2025 3:55:35","3280","16,790","0,730","1,690","9,77","1412","10,00",
" 31/1","25 oct 2025 3:57:16","3328","16,790","0,730","1,700","9,77","1401","10,00",
" 31/2","25 oct 2025 3:57:33","3336","16,820","0,730","1,700","9,74","1386","9,99",
" 31/3","25 oct 2025 3:57:50","3344","16,830","0,730","1,700","9,75","1400","10,00",
" 31/4","25 oct 2025 3:58:07","3352","16,800","0,730","1,700","9,75","1396","10,00",
" 31/5","25 oct 2025 3:58:24","3360","16,820","0,730","1,690","9,77","1411","10,00",
" 32/1","25 oct 2025 4:00:05","3408","16,790","0,730","1,690","9,76","1423","10,00",
" 32/2","25 oct 2025 4:00:22","3416","16,790","0,730","1,700","9,75","1392","10,00",
" 32/3","25 oct 2025 4:00:39","3424","16,770","0,730","1,700","9,75","1393","10,00",
" 32/4","25 oct 2025 4:00:56","3432","16,830","0,730","1,700","9,75","1392","10,00",
" 32/5","25 oct 2025 4:01:13","3440","16,810","0,730","1,700","9,76","1393","10,00",
" 33/1","25 oct 2025 4:05:02","3520","16,140","0,730","1,650","9,78","1486","10,00",
" 33/2","25 oct 2025 4:05:27","3528","16,810","0,730","1,690","9,74","1406","10,00",
" 33/3","25 oct 2025 4:05:36","3536","16,810","0,730","1,690","9,74","1406","10,00",
" 33/4","25 oct 2025 4:05:53","3544","16,800","0,730","1,690","9,75","1400","10,00",
" 33/5","25 oct 2025 4:06:10","3552","16,830","0,730","1,680","9,77","1417","10,00",
" 34/1","25 oct 2025 4:07:51","3600","16,810","0,730","1,700","9,75","1403","10,00",
" 34/2","25 oct 2025 4:08:08","3608","16,820","0,730","1,700","9,75","1387","10,00",
" 34/3","25 oct 2025 4:08:25","3616","16,860","0,730","1,710","9,76","1393","10,00",
" 34/4","25 oct 2025 4:08:42","3624","16,800","0,730","1,710","9,76","1403","10,00",
" 34/5","25 oct 2025 4:08:59","3632","16,820","0,730","1,700","9,77","1409","10,00",
" 35/1","25 oct 2025 4:10:40","3680","16,790","0,730","1,700","9,77","1404","10,00",
" 35/2","25 oct 2025 4:10:57","3688","16,810","0,730","1,700","9,76","1400","10,00",
" 35/3","25 oct 2025 4:11:14","3696","16,820","0,730","1,710","9,75","1389","10,00",
" 35/4","25 oct 2025 4:11:31","3704","16,820","0,730","1,700","9,76","1420","10,00",
" 35/5","25 oct 2025 4:11:48","3712","16,820","0,730","1,710","9,75","1396","10,00",
" 36/1","25 oct 2025 4:13:29","3760","16,800","0,730","1,690","9,77","1417","10,00",
" 36/2","25 oct 2025 4:13:46","3768","16,800","0,730","1,700","9,76","1412","10,00",
" 36/3","25 oct 2025 4:14:03","3776","16,810","0,730","1,700","9,77","1395","10,00",
" 36/4","25 oct 2025 4:14:20","3784","16,820","0,730","1,700","9,76","1407","10,00",
" 36/5","25 oct 2025 4:14:37","3792","16,830","0,730","1,710","9,77","1401","10,00",
" 37/1","25 oct 2025 4:16:19","3840","16,830","0,730","1,700","9,74","1379","10,00",
" 37/2","25 oct 2025 4:16:35","3848","16,780","0,730","1,700","9,76","1396","10,00",
" 37/3","25 oct 2025 4:16:52","3856","16,800","0,730","1,700","9,77","1420","10,00",
" 37/4","25 oct 2025 4:17:09","3864","16,810","0,730","1,700","9,76","1395","10,00",
" 37/5","25 oct 2025 4:17:26","3872","16,790","0,730","1,700","9,74","1379","10,00",
" 38/1","25 oct 2025 4:19:07","3920","16,830","0,730","1,700","9,75","1379","10,00",
" 38/2","25 oct 2025 4:19:24","3928","16,790","0,730","1,710","9,74","1378","10,00",
" 38/3","25 oct 2025 4:19:41","3936","16,790","0,730","1,700","9,75","1384","10,00",
" 38/4","25 oct 2025 4:19:58","3944","16,820","0,730","1,710","9,77","1396","10,00",
" 38/5","25 oct 2025 4:20:15","3952","16,830","0,730","1,710","9,76","1398","10,00",
" 39/1","25 oct 2025 4:21:56","4000","16,820","0,730","1,700","9,76","1403","10,00",
" 39/2","25 oct 2025 4:22:13","4008","16,820","0,730","1,710","9,75","1389","10,00",
" 39/3","25 oct 2025 4:22:30","4016","16,780","0,730","1,700","9,77","1406","10,00",
" 39/4","25 oct 2025 4:22:47","4024","16,840","0,730","1,710","9,76","1404","10,00",
" 39/5","25 oct 2025 4:23:04","4032","16,800","0,730","1,710","9,77","1400","10,00",
" 40/1","25 oct 2025 4:24:45","4080","16,780","0,730","1,710","9,74","1378","10,00",
" 40/2","25 oct 2025 4:25:02","4088","16,780","0,730","1,700","9,76","1414","10,00",
" 40/3","25 oct 2025 4:25:19","4096","16,800","0,730","1,720","9,75","1367","10,00",
" 40/4","25 oct 2025 4:25:36","4104","16,820","0,730","1,720","9,75","1384","10,00",
" 40/5","25 oct 2025 4:25:53","4112","16,790","0,730","1,710","9,77","1414","10,00",
" 41/1","25 oct 2025 4:27:34","4160","16,830","0,730","1,710","9,76","1417","10,00",
" 41/2","25 oct 2025 4:27:51","4168","16,820","0,730","1,710","9,77","1420","10,00",
" 41/3","25 oct 2025 4:28:08","4176","16,810","0,730","1,710","9,76","1393","10,00",
" 41/4","25 oct 2025 4:28:25","4184","16,840","0,730","1,700","9,75","1415","10,00",
" 41/5","25 oct 2025 4:28:42","4192","16,800","0,730","1,700","9,76","1415","9,99",
" 42/1","25 oct 2025 4:30:24","4240","16,830","0,730","1,720","9,76","1386","10,00",
" 42/2","25 oct 2025 4:30:41","4248","16,820","0,730","1,710","9,76","1411","9,99",
" 42/3","25 oct 2025 4:30:58","4256","16,820","0,730","1,710","9,77","1406","10,00",
" 42/4","25 oct 2025 4:31:15","4264","16,820","0,730","1,720","9,75","1390","10,00",
" 42/5","25 oct 2025 4:31:32","4272","16,830","0,730","1,710","9,76","1409","10,00",
" 43/1","25 oct 2025 4:33:05","4320","16,780","0,730","1,720","9,76","1393","10,00",
" 43/2","25 oct 2025 4:33:22","4328","16,830","0,730","1,720","9,76","1406","10,00",
" 43/3","25 oct 2025 4:33:39","4336","16,820","0,730","1,720","9,74","1379","10,00",
" 43/4","25 oct 2025 4:33:55","4344","16,810","0,730","1,720","9,77","1389","10,00",
" 43/5","25 oct 2025 4:34:12","4352","16,850","0,730","1,710","9,78","1415","10,00",
" 44/1","25 oct 2025 4:35:54","4400","16,810","0,730","1,720","9,75","1392","10,00",
" 44/2","25 oct 2025 4:36:11","4408","16,800","0,730","1,720","9,76","1398","10,00",
" 44/3","25 oct 2025 4:36:28","4416","16,850","0,730","1,710","9,78","1426","10,00",
" 44/4","25 oct 2025 4:36:45","4424","16,810","0,730","1,710","9,76","1400","9,99",
" 44/5","25 oct 2025 4:37:02","4432","16,820","0,730","1,700","9,77","1409","10,00",
" 45/1","25 oct 2025 4:38:44","4480","16,820","0,730","1,710","9,77","1406","10,00",
" 45/2","25 oct 2025 4:39:01","4488","16,820","0,730","1,720","9,75","1386","10,00",
" 45/3","25 oct 2025 4:39:18","4496","16,820","0,730","1,710","9,75","1398","10,00",
" 45/4","25 oct 2025 4:39:35","4504","16,820","0,730","1,710","9,76","1386","10,00",
" 45/5","25 oct 2025 4:39:51","4512","16,810","0,730","1,720","9,76","1403","10,00",
" 46/1","25 oct 2025 4:41:33","4560","16,830","0,730","1,700","9,78","1411","10,00",
" 46/2","25 oct 2025 4:41:50","4568","16,810","0,730","1,700","9,76","1389","10,00",
" 46/3","25 oct 2025 4:42:07","4576","16,780","0,730","1,720","9,74","1381","10,00",
" 46/4","25 oct 2025 4:42:23","4584","16,800","0,730","1,710","9,76","1386","10,00",
" 46/5","25 oct 2025 4:42:40","4592","16,820","0,730","1,720","9,76","1414","10,00",
" 47/1","25 oct 2025 4:44:22","4640","16,820","0,730","1,740","9,75","1365","10,00",
" 47/2","25 oct 2025 4:44:39","4648","16,810","0,730","1,740","9,75","1371","10,00",
" 47/3","25 oct 2025 4:44:56","4656","16,800","0,730","1,740","9,76","1387","10,00",
" 47/4","25 oct 2025 4:45:13","4664","16,830","0,730","1,730","9,76","1395","10,00",
" 47/5","25 oct 2025 4:45:29","4672","16,810","0,730","1,740","9,74","1389","10,00",
" 48/1","25 oct 2025 4:47:11","4720","16,840","0,730","1,780","9,74","1359","10,00",
" 48/2","25 oct 2025 4:47:28","4728","16,820","0,730","1,800","9,75","1346","10,00",
" 48/3","25 oct 2025 4:47:45","4736","16,830","0,730","1,780","9,75","1359","10,00",
" 48/4","25 oct 2025 4:48:02","4744","16,800","0,730","1,780","9,74","1365","10,00",
" 48/5","25 oct 2025 4:48:18","4752","16,810","0,730","1,780","9,74","1345","10,00",
" 49/1","25 oct 2025 4:50:00","4800","16,810","0,730","1,830","9,74","1321","10,00",
" 49/2","25 oct 2025 4:50:17","4808","16,790","0,730","1,820","9,74","1340","10,00",
" 49/3","25 oct 2025 4:50:34","4816","16,810","0,730","1,830","9,74","1337","10,00",
" 49/4","25 oct 2025 4:50:51","4824","16,760","0,730","1,830","9,75","1324","10,00",
" 49/5","25 oct 2025 4:51:07","4832","16,790","0,730","1,800","9,74","1337","10,00",
" 50/1","25 oct 2025 4:52:49","4880","16,790","0,730","1,840","9,74","1334","9,99",
" 50/2","25 oct 2025 4:53:06","4888","16,810","0,730","1,860","9,69","1299","10,00",
" 50/3","25 oct 2025 4:53:22","4896","16,780","0,730","1,840","9,74","1315","10,00",
" 50/4","25 oct 2025 4:53:39","4904","16,830","0,730","1,850","9,74","1332","10,00",
" 50/5","25 oct 2025 4:53:56","4912","16,830","0,730","1,850","9,73","1315","10,00",
" 51/1","25 oct 2025 4:55:38","4960","16,820","0,730","1,840","9,74","1310","10,00",
" 51/2","25 oct 2025 4:55:55","4968","16,820","0,730","1,860","9,74","1313","10,00",
" 51/3","25 oct 2025 4:56:12","4976","16,800","0,730","1,840","9,74","1312","10,00",
" 51/4","25 oct 2025 4:56:28","4984","16,820","0,730","1,860","9,73","1301","10,00",
" 51/5","25 oct 2025 4:56:45","4992","16,800","0,730","1,880","9,70","1277","10,00",
" 52/1","25 oct 2025 4:58:19","5040","16,810","0,730","1,870","9,74","1298","10,00",
" 52/2","25 oct 2025 4:58:36","5048","16,810","0,730","1,860","9,73","1309","10,00",
" 52/3","25 oct 2025 4:58:52","5056","16,840","0,730","1,890","9,70","1285","10,00",
" 52/4","25 oct 2025 4:59:09","5064","16,810","0,730","1,900","9,73","1296","10,00",
" 52/5","25 oct 2025 4:59:26","5072","16,820","0,730","1,870","9,74","1301","10,00",
" 53/1","25 oct 2025 5:01:08","5120","16,810","0,730","1,880","9,73","1295","10,00",
" 53/2","25 oct 2025 5:01:25","5128","16,820","0,730","1,910","9,73","1288","10,00",
" 53/3","25 oct 2025 5:01:42","5136","16,820","0,730","1,900","9,71","1251","10,00",
" 53/4","25 oct 2025 5:01:59","5144","16,820","0,730","1,870","9,73","1277","10,00",
" 53/5","25 oct 2025 5:02:16","5152","16,820","0,730","1,860","9,74","1298","10,00",
" 54/1","25 oct 2025 5:03:57","5200","16,820","0,730","1,860","9,74","1295","10,00",
" 54/2","25 oct 2025 5:04:14","5208","16,820","0,730","1,860","9,74","1298","10,00",
" 54/3","25 oct 2025 5:04:31","5216","16,810","0,730","1,880","9,73","1282","10,00",
